Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,tensify,nasalize,lateralize,Type,notes
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxntako,굶는다고,굼는다고,kum.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxntanxn,굶는다는,굼는다는,kum.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
kxlk-nxn,긁는,극는,kxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
nxlk-nxn,늙는,늑는,nxk.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
nxlk-nxn,늙는,늘는,nxl.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
talm-nxnta,닮는다,담는다,tam.nxn.ta,lm-n,mn,0,1,0,0,0,lC+Sonorant,
talm-nxntako,닮는다고,담는다고,tam.nxn.ta.ko,lm-n,mn,0,1,0,0,0,lC+Sonorant,
talm-nxntanxn,닮는다는,담는다는,tam.nxn.ta.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
palp-nxn,밟는,발는,pal.nxn,lp-n,ln,1,0,0,0,0,lC+Sonorant,
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,
palp-nxn,밟는,밥는,pap.nxn,lp-n,pn,0,1,0,0,0,lC+Sonorant,
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
salm-nxntatxnka,삶는다든가,쌈는다든가,Sam.nxn.ta.txn.ka,lm-n,mn,0,1,0,0,0,lC+Sonorant,
ilk-napwayo,읽나봐요,익나봐요,ik.na.pwa.yo,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxntatxnci,읽는다든지,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,익는,ik.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxnkuna,읽는구나,익는구나,ik.nxn.ku.na,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxntanxn,읽는다는,익는다는,ik.nxn.ta.nxn,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxntatxnka,읽는다든가,익는다든가,ik.nxn.ta.txn.ka,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxnte,읽는데,익는데,ik.nxn.te,lk-n,kn,0,0,0,0,0,lC+Sonorant,
ilk-nxnteto,읽는데도,익는데도,ik.nxn.te.to,lk-n,kn,0,1,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxntakvna,읽는다거나,일는다거나,il.nxn.ta.kv.na,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxntatxnka,읽는다든가,일는다던가,il.nxn.ta.tvn.ka,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxntatxnka,읽는다든가,일는다든가,il.nxn.ta.txn.ka,lk-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,읽는,ilk.nxn,lk-n,lkn,0,0,0,0,0,lC+Sonorant,
ilk-nxnte,읽는데,읽는데,ilk.nxn.te,lk-n,lkn,0,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxntatxnka,읽는다든가,잉는다던가,iN.nxn.ta.tvn.ka,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
cispalp-nxntako,짓밟는다고,짓밟는다고,cis.palp.nxn.ta.ko,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
cispalp-nxn,짓밟는,짓빫는,cis.balp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
halT-nxn,핥는,할른,hal.lxn,lT-n,ll,1,0,0,0,1,lC+Sonorant,
halT-nxn,핥는,할른,hal.lxn,lT-n,ll,1,0,0,0,1,lC+Sonorant,
kulm-nxn,굶는,굴는,kul.nxn,lm-n,ln,1,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,일ㅇ는,il.kweh gweh nweh tweh dweh lweh mweh pweh bweh sweh Sweh weh cweh Jweh Cweh Kweh Tweh Pweh hweh.nxn,lk-n,lNn,0,0,0,1,0,lC+Sonorant,"The ㅇ in Production_H represents engma; the romanization in Production_R is weird, because my romanization codes could not process this standalone ㅇ. (But there is no other way to represent this in Hangul...)"
ilk-nxn,읽는,일른,il.lxn,lk-n,ll,1,0,0,0,1,lC+Sonorant,
salm-nxntatxnka,삶는다든가,쌈는다등가,Sam.nxn.ta.txN.ka,lm-n,mn,0,1,0,0,0,lC+Sonorant,
kulm-nxn,굶는,굼는,kum.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxntatxnci,읽는다든지,읽는다든지,ilk.nxn.ta.txn.ci,lk-n,lkn,0,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxntatxnka,읽는다든가,잉는다덩가,iN.nxn.ta.tvN.ka,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
nxlk-nxn,늙는,능는,nxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
